status,source_account_folder,source_account_id,source_bucket,bucket_key,db_path,rows_read,error
OK,account_1513550384_DEMO,1513550384_DEMO,AUDJPY_99_5.21.176_BUY_2026-06-01_to_2026-06-04,AUDJPY_99_5.21.176_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/AUDJPY_99_5.21.176_BUY_2026-06-01_to_2026-06-04/trades.db,3,
OK,account_1513550380_DEMO,1513550380_DEMO,AUDUSD_48_5.8.189_SELL_2026-06-02_to_2026-06-02,AUDUSD_48_5.8.189_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/AUDUSD_48_5.8.189_SELL_2026-06-02_to_2026-06-02/trades.db,1,
OK,account_1513550380_DEMO,1513550380_DEMO,AUDUSD_4_3.27.109_SELL_2026-06-04_to_2026-06-04,AUDUSD_4_3.27.109_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/AUDUSD_4_3.27.109_SELL_2026-06-04_to_2026-06-04/trades.db,1,
OK,account_1513550380_DEMO,1513550380_DEMO,AUDUSD_5_6.3.178_SELL_2026-06-02_to_2026-06-04,AUDUSD_5_6.3.178_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/AUDUSD_5_6.3.178_SELL_2026-06-02_to_2026-06-04/trades.db,2,
OK,account_1513550380_DEMO,1513550380_DEMO,AUDUSD_60_1.31.145_SELL_2026-06-04_to_2026-06-04,AUDUSD_60_1.31.145_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/AUDUSD_60_1.31.145_SELL_2026-06-04_to_2026-06-04/trades.db,1,
OK,account_1513550380_DEMO,1513550380_DEMO,AUDUSD_61_6.25.174_SELL_2026-06-02_to_2026-06-04,AUDUSD_61_6.25.174_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/AUDUSD_61_6.25.174_SELL_2026-06-02_to_2026-06-04/trades.db,2,
OK,account_1513550380_DEMO,1513550380_DEMO,AUDUSD_6_5.9.126_SELL_2026-06-04_to_2026-06-04,AUDUSD_6_5.9.126_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/AUDUSD_6_5.9.126_SELL_2026-06-04_to_2026-06-04/trades.db,1,
OK,account_1513550380_DEMO,1513550380_DEMO,AUDUSD_79_6.10.164_SELL_2026-06-04_to_2026-06-04,AUDUSD_79_6.10.164_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/AUDUSD_79_6.10.164_SELL_2026-06-04_to_2026-06-04/trades.db,1,
OK,account_1513550384_DEMO,1513550384_DEMO,AUDUSD_85_5.32.183_SELL_2026-06-02_to_2026-06-04,AUDUSD_85_5.32.183_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/AUDUSD_85_5.32.183_SELL_2026-06-02_to_2026-06-04/trades.db,3,
OK,account_1513550384_DEMO,1513550384_DEMO,AUDUSD_94_0.154053_SELL_2026-06-02_to_2026-06-04,AUDUSD_94_0.154053_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/AUDUSD_94_0.154053_SELL_2026-06-02_to_2026-06-04/trades.db,3,
OK,account_1513550384_DEMO,1513550384_DEMO,EURGBP_100_6.65.147_SELL_2026-06-01_to_2026-06-04,EURGBP_100_6.65.147_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550384_DEMO/EURGBP_100_6.65.147_SELL_2026-06-01_to_2026-06-04/trades.db,4,
OK,account_1513550380_DEMO,1513550380_DEMO,EURGBP_10_5.21.111_SELL_2026-06-03_to_2026-06-03,EURGBP_10_5.21.111_SELL,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURGBP_10_5.21.111_SELL_2026-06-03_to_2026-06-03/trades.db,1,
OK,account_1513550380_DEMO,1513550380_DEMO,EURGBP_49_2.36.141_BOTH_2026-06-01_to_2026-06-04,EURGBP_49_2.36.141_BOTH,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURGBP_49_2.36.141_BOTH_2026-06-01_to_2026-06-04/trades.db,4,
OK,account_1513550380_DEMO,1513550380_DEMO,EURGBP_62_3.31.132_BUY_2026-06-01_to_2026-06-02,EURGBP_62_3.31.132_BUY,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_1513550380_DEMO/EURGBP_62_3.31.132_BUY_2026-06-01_to_2026-06-02/trades.db,2,
