bucket_key,status,source_strategy_dbs,source_accounts,rows_written,output_db,first_close_time_utc,last_close_time_utc
AUDUSD_61_6.25.174_SELL,OK,1,1513550380_DEMO,2,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/AUDUSD_61_6.25.174_SELL_2026-06-02_to_2026-06-04/trades.db,2026-06-02 20:16:22+0000,2026-06-04 17:35:47+0000
AUDUSD_6_5.9.126_SELL,OK,1,1513550380_DEMO,1,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/AUDUSD_6_5.9.126_SELL_2026-06-04_to_2026-06-04/trades.db,2026-06-04 15:00:22+0000,2026-06-04 15:00:22+0000
AUDUSD_79_6.10.164_SELL,OK,1,1513550380_DEMO,1,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/AUDUSD_79_6.10.164_SELL_2026-06-04_to_2026-06-04/trades.db,2026-06-04 23:45:00+0000,2026-06-04 23:45:00+0000
AUDUSD_85_5.32.183_SELL,OK,1,1513550384_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/AUDUSD_85_5.32.183_SELL_2026-06-02_to_2026-06-04/trades.db,2026-06-02 23:45:03+0000,2026-06-04 23:45:00+0000
AUDUSD_94_0.154053_SELL,OK,1,1513550384_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/AUDUSD_94_0.154053_SELL_2026-06-02_to_2026-06-04/trades.db,2026-06-02 13:48:39+0000,2026-06-04 14:16:52+0000
EURGBP_100_6.65.147_SELL,OK,1,1513550384_DEMO,4,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURGBP_100_6.65.147_SELL_2026-06-01_to_2026-06-04/trades.db,2026-06-01 18:23:16+0000,2026-06-04 23:45:00+0000
EURGBP_10_5.21.111_SELL,OK,1,1513550380_DEMO,1,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURGBP_10_5.21.111_SELL_2026-06-03_to_2026-06-03/trades.db,2026-06-03 23:45:01+0000,2026-06-03 23:45:01+0000
EURGBP_49_2.36.141_BOTH,OK,1,1513550380_DEMO,4,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURGBP_49_2.36.141_BOTH_2026-06-01_to_2026-06-04/trades.db,2026-06-01 17:57:44+0000,2026-06-04 23:45:00+0000
EURGBP_62_3.31.132_BUY,OK,1,1513550380_DEMO,2,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURGBP_62_3.31.132_BUY_2026-06-01_to_2026-06-02/trades.db,2026-06-01 19:36:08+0000,2026-06-02 23:45:00+0000
EURGBP_63_4.21.189_SELL,OK,1,1513550380_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURGBP_63_4.21.189_SELL_2026-06-02_to_2026-06-04/trades.db,2026-06-02 17:44:30+0000,2026-06-04 23:45:00+0000
EURGBP_70_2.27.108_SELL,OK,1,1513550380_DEMO,2,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURGBP_70_2.27.108_SELL_2026-06-03_to_2026-06-04/trades.db,2026-06-03 10:02:49+0000,2026-06-04 23:45:00+0000
EURGBP_7_3.16.177_SELL,OK,1,1513550380_DEMO,4,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURGBP_7_3.16.177_SELL_2026-06-01_to_2026-06-03/trades.db,2026-06-01 11:49:44+0000,2026-06-03 23:45:01+0000
EURGBP_8_6.1.186_SELL,OK,1,1513550380_DEMO,2,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURGBP_8_6.1.186_SELL_2026-06-02_to_2026-06-03/trades.db,2026-06-02 23:45:00+0000,2026-06-03 23:45:01+0000
EURGBP_9_5.2.127_SELL,OK,1,1513550380_DEMO,1,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURGBP_9_5.2.127_SELL_2026-06-03_to_2026-06-03/trades.db,2026-06-03 23:45:01+0000,2026-06-03 23:45:01+0000
EURUSD_11_1.42.105_SELL,OK,1,1513550380_DEMO,1,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURUSD_11_1.42.105_SELL_2026-06-04_to_2026-06-04/trades.db,2026-06-04 13:34:21+0000,2026-06-04 13:34:21+0000
EURUSD_12_3.47.124_BUY,OK,1,1513550380_DEMO,4,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURUSD_12_3.47.124_BUY_2026-06-01_to_2026-06-04/trades.db,2026-06-01 09:56:58+0000,2026-06-04 12:38:16+0000
EURUSD_13_6.46.178_BUY,OK,1,1513550380_DEMO,2,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURUSD_13_6.46.178_BUY_2026-06-01_to_2026-06-02/trades.db,2026-06-01 16:50:22+0000,2026-06-02 20:41:39+0000
EURUSD_14_5.6.167_BUY,OK,1,1513550380_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURUSD_14_5.6.167_BUY_2026-06-01_to_2026-06-03/trades.db,2026-06-01 16:11:55+0000,2026-06-03 11:39:59+0000
EURUSD_59_2.34.129_SELL,OK,1,1513550380_DEMO,4,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURUSD_59_2.34.129_SELL_2026-06-01_to_2026-06-04/trades.db,2026-06-01 16:11:27+0000,2026-06-04 12:33:52+0000
EURUSD_64_4.34.165_BUY,OK,1,1513550380_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURUSD_64_4.34.165_BUY_2026-06-01_to_2026-06-03/trades.db,2026-06-01 09:53:06+0000,2026-06-03 03:31:34+0000
EURUSD_71_5.30.159_SELL,OK,1,1513550380_DEMO,2,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURUSD_71_5.30.159_SELL_2026-06-02_to_2026-06-04/trades.db,2026-06-02 09:25:21+0000,2026-06-04 12:37:41+0000
EURUSD_72_5.42.127_SELL,OK,1,1513550380_DEMO,2,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURUSD_72_5.42.127_SELL_2026-06-02_to_2026-06-04/trades.db,2026-06-02 09:25:12+0000,2026-06-04 12:04:15+0000
EURUSD_73_5.43.181_SELL,OK,1,1513550380_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURUSD_73_5.43.181_SELL_2026-06-01_to_2026-06-04/trades.db,2026-06-01 14:10:36+0000,2026-06-04 12:04:15+0000
EURUSD_98_3.65.188_SELL,OK,1,1513550384_DEMO,1,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/EURUSD_98_3.65.188_SELL_2026-06-02_to_2026-06-02/trades.db,2026-06-02 23:45:00+0000,2026-06-02 23:45:00+0000
GBPJPY_50_5.35.116_BUY,OK,1,1513550380_DEMO,1,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/GBPJPY_50_5.35.116_BUY_2026-06-04_to_2026-06-04/trades.db,2026-06-04 23:45:00+0000,2026-06-04 23:45:00+0000
GBPJPY_65_2.14.157_BUY,OK,1,1513550380_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/GBPJPY_65_2.14.157_BUY_2026-06-01_to_2026-06-03/trades.db,2026-06-01 23:45:00+0000,2026-06-03 23:45:00+0000
GBPJPY_66_4.17.131_BOTH,OK,1,1513550380_DEMO,4,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/GBPJPY_66_4.17.131_BOTH_2026-06-01_to_2026-06-04/trades.db,2026-06-01 23:45:00+0000,2026-06-04 23:45:00+0000
GBPJPY_67_4.19.99_BOTH,OK,1,1513550380_DEMO,4,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/GBPJPY_67_4.19.99_BOTH_2026-06-01_to_2026-06-04/trades.db,2026-06-01 23:45:00+0000,2026-06-04 23:45:00+0000
GBPJPY_80_3.9.165_BUY,OK,1,1513550380_DEMO,5,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/GBPJPY_80_3.9.165_BUY_2026-06-01_to_2026-06-04/trades.db,2026-06-01 08:22:33+0000,2026-06-04 07:34:13+0000
GBPJPY_86_5.19.174_BUY,OK,1,1513550384_DEMO,2,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/GBPJPY_86_5.19.174_BUY_2026-06-01_to_2026-06-02/trades.db,2026-06-01 23:45:00+0000,2026-06-02 23:45:00+0000
GBPJPY_87_5.51.104_BUY,OK,1,1513550384_DEMO,1,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/GBPJPY_87_5.51.104_BUY_2026-06-02_to_2026-06-02/trades.db,2026-06-02 09:07:01+0000,2026-06-02 09:07:01+0000
GBPJPY_96_2.37.164_BUY,OK,1,1513550384_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/GBPJPY_96_2.37.164_BUY_2026-06-01_to_2026-06-04/trades.db,2026-06-01 16:11:44+0000,2026-06-04 07:34:13+0000
GBPUSD_19_0.13205_BUY,OK,1,1513550380_DEMO,3,/Users/leoneverts/Desktop/Quant2-main/INFRASTRUCTURE_LAYER/Storage/2_Baseline/Trades/Live/account_COMBINED_DEMO/GBPUSD_19_0.13205_BUY_2026-06-01_to_2026-06-03/trades.db,2026-06-01 10:25:14+0000,2026-06-03 07:10:02+0000
